Period (us),Duration (us),,,Period count,duration count
1516.8,124979.2,,,505852800,41680563200
1606.4,124979.2,,,535734400,41680563200
1516.8,124979.2,,,505852800,41680563200
1606.4,124979.2,,,535734400,41680563200
1516.8,124979.2,,,505852800,41680563200
2024,124979.2,,,675004000,41680563200
1702.4,124979.2,,,567750400,41680563200
1910.4,124979.2,,,637118400,41680563200
2272,249958.4,,,757712000,83361126400
0,124979.2,,,0,41680563200
3820.8,124979.2,,,1274236800,41680563200
3033.6,124979.2,,,1011705600,41680563200
2272,124979.2,,,757712000,41680563200
2024,249958.4,,,675004000,83361126400
0,124979.2,,,0,41680563200
3033.6,124979.2,,,1011705600,41680563200
2406.4,124979.2,,,802534400,41680563200
2024,124979.2,,,675004000,41680563200
1910.4,249958.4,,,637118400,83361126400
0,124979.2,,,0,41680563200
3033.6,124979.2,,,1011705600,41680563200
1516.8,124979.2,,,505852800,41680563200
1606.4,124979.2,,,535734400,41680563200
1516.8,124979.2,,,505852800,41680563200
1606.4,124979.2,,,535734400,41680563200
1516.8,124979.2,,,505852800,41680563200
2024,124979.2,,,675004000,41680563200
1702.4,124979.2,,,567750400,41680563200
1910.4,124979.2,,,637118400,41680563200
2272,249958.4,,,757712000,83361126400
0,124979.2,,,0,41680563200
3820.8,124979.2,,,1274236800,41680563200
3033.6,124979.2,,,1011705600,41680563200
2272,124979.2,,,757712000,41680563200
2024,249958.4,,,675004000,83361126400
0,124979.2,,,0,41680563200
3033.6,124979.2,,,1011705600,41680563200
1910.4,124979.2,,,637118400,41680563200
2024,124979.2,,,675004000,41680563200
2272,249958.4,,,757712000,83361126400
0,124979.2,,,0,41680563200
2024,124979.2,,,675004000,41680563200
1910.4,124979.2,,,637118400,41680563200
1702.4,124979.2,,,567750400,41680563200
1516.8,374988.8,,,505852800,1.25059E+11
2550.4,124979.2,,,850558400,41680563200
1430.4,124979.2,,,477038400,41680563200
1516.8,124979.2,,,505852800,41680563200
1702.4,374988.8,,,567750400,1.25059E+11
2862.4,124979.2,,,954610400,41680563200
1516.8,124979.2,,,505852800,41680563200
1702.4,124979.2,,,567750400,41680563200
1910.4,374988.8,,,637118400,1.25059E+11
3033.6,124979.2,,,1011705600,41680563200
1702.4,124979.2,,,567750400,41680563200
1910.4,124979.2,,,637118400,41680563200
2024,249958.4,,,675004000,83361126400
0,124979.2,,,0,41680563200
3033.6,124979.2,,,1011705600,41680563200
1516.8,124979.2,,,505852800,41680563200
0,124979.2,,,0,41680563200
0,124979.2,,,0,41680563200
1516.8,124979.2,,,505852800,41680563200
758.4,124979.2,,,252926400,41680563200
0,124979.2,,,0,41680563200
0,124979.2,,,0,41680563200
1606.4,124979.2,,,535734400,41680563200
1516.8,124979.2,,,505852800,41680563200
0,124979.2,,,0,41680563200
0,124979.2,,,0,41680563200
1606.4,124979.2,,,535734400,41680563200
1516.8,124979.2,,,505852800,41680563200
1606.4,124979.2,,,535734400,41680563200
1516.8,124979.2,,,505852800,41680563200
1606.4,124979.2,,,535734400,41680563200
1516.8,124979.2,,,505852800,41680563200
2024,124979.2,,,675004000,41680563200
1702.4,124979.2,,,567750400,41680563200
1910.4,124979.2,,,637118400,41680563200
2272,249958.4,,,757712000,83361126400
0,124979.2,,,0,41680563200
3820.8,124979.2,,,1274236800,41680563200
3033.6,124979.2,,,1011705600,41680563200
2272,124979.2,,,757712000,41680563200
2024,249958.4,,,675004000,83361126400
0,124979.2,,,0,41680563200
3033.6,124979.2,,,1011705600,41680563200
2406.4,124979.2,,,802534400,41680563200
2024,124979.2,,,675004000,41680563200
1910.4,249958.4,,,637118400,83361126400
0,124979.2,,,0,41680563200
3033.6,124979.2,,,1011705600,41680563200
1516.8,124979.2,,,505852800,41680563200
1606.4,124979.2,,,535734400,41680563200
1516.8,124979.2,,,505852800,41680563200
1606.4,124979.2,,,535734400,41680563200
1516.8,124979.2,,,505852800,41680563200
2024,124979.2,,,675004000,41680563200
1702.4,124979.2,,,567750400,41680563200
1910.4,124979.2,,,637118400,41680563200
2272,249958.4,,,757712000,83361126400
0,124979.2,,,0,41680563200
3820.8,124979.2,,,1274236800,41680563200
3033.6,124979.2,,,1011705600,41680563200
2272,124979.2,,,757712000,41680563200
2024,249958.4,,,675004000,83361126400
0,124979.2,,,0,41680563200
3033.6,124979.2,,,1011705600,41680563200
1910.4,124979.2,,,637118400,41680563200
2024,124979.2,,,675004000,41680563200
2272,499968,,,757712000,1.66739E+11
0,0,,,0,0
